client_id,engagement_date,sector,referral_source,adviser,current_stage,placed_date,days_on_programme
CL0001,24/04/2024,Retail,Partner organisation,Adviser B,Action Plan Agreed,,852
CL0002,14/04/2024,Hospitality,Self-referral,Adviser A,Engaged,,862
CL0003,11/08/2024,Construction,Self-referral,Adviser A,Placed,23/02/2025,743
CL0004,05/03/2025,Construction,Jobcentre Plus,Adviser C,Sustained (13 weeks),05/04/2025,537
CL0005,12/06/2024,Customer Service,Jobcentre Plus,Adviser B,Action Plan Agreed,,803
CL0006,10/12/2024,Hospitality,Jobcentre Plus,Adviser A,In Training,,622
CL0007,18/12/2024,Warehousing & Logistics,Partner organisation,Adviser D,Placed,23/04/2025,614
CL0008,21/03/2024,Warehousing & Logistics,Partner organisation,Adviser C,Placed,07/05/2024,886
CL0009,16/02/2024,Construction,Partner organisation,Adviser A,Sustained (13 weeks),11/04/2024,920
CL0010,24/01/2025,Warehousing & Logistics,Self-referral,Adviser C,Action Plan Agreed,,577
CL0011,29/12/2024,Construction,Partner organisation,Adviser A,Placed,12/03/2025,603
CL0012,07/09/2024,Health & Social Care,Self-referral,Adviser C,Sustained (26 weeks),19/03/2025,716
CL0013,12/08/2024,Admin & Office,Partner organisation,Adviser A,Action Plan Agreed,,742
CL0014,02/02/2024,Admin & Office,Jobcentre Plus,Adviser A,Action Plan Agreed,,934
CL0015,18/11/2024,Construction,Partner organisation,Adviser D,Sustained (13 weeks),31/05/2025,644
CL0016,14/04/2025,Health & Social Care,Jobcentre Plus,Adviser B,Placed,28/09/2025,497
CL0017,26/09/2024,Customer Service,Partner organisation,Adviser D,In Training,,697
CL0018,21/05/2024,Education,Jobcentre Plus,Adviser A,Sustained (13 weeks),29/07/2024,825
CL0019,12/06/2024,Customer Service,Self-referral,Adviser D,In Training,,803
CL0020,24/04/2025,Warehousing & Logistics,Re-referral,Adviser A,Placed,22/06/2025,487
CL0021,30/09/2024,Admin & Office,Jobcentre Plus,Adviser D,Action Plan Agreed,,693
CL0022,04/01/2024,Warehousing & Logistics,Re-referral,Adviser B,Placed,01/03/2024,963
CL0023,01/11/2024,Construction,Jobcentre Plus,Adviser B,Placed,15/04/2025,661
CL0024,01/01/2024,Admin & Office,Self-referral,Adviser A,Sustained (26 weeks),18/04/2024,966
CL0025,02/09/2024,Retail,Jobcentre Plus,Adviser A,Engaged,,721
CL0026,12/05/2025,Hospitality,Re-referral,Adviser B,Action Plan Agreed,,469
CL0027,01/05/2025,Health & Social Care,Jobcentre Plus,Adviser D,Sustained (26 weeks),16/10/2025,480
CL0028,24/07/2024,Warehousing & Logistics,Jobcentre Plus,Adviser C,Job Ready,,761
CL0029,13/06/2025,Education,Jobcentre Plus,Adviser B,Engaged,,437
CL0030,22/01/2024,Construction,Self-referral,Adviser A,Engaged,,945
CL0031,01/03/2024,Construction,Jobcentre Plus,Adviser A,Sustained (13 weeks),18/04/2024,906
CL0032,10/06/2025,Construction,Jobcentre Plus,Adviser D,Action Plan Agreed,,440
CL0033,15/05/2024,Education,Jobcentre Plus,Adviser D,Sustained (13 weeks),01/08/2024,831
CL0034,06/04/2024,Hospitality,Partner organisation,Adviser C,Job Ready,,870
CL0035,23/04/2025,Retail,Partner organisation,Adviser A,Engaged,,488
CL0036,13/12/2024,Hospitality,Jobcentre Plus,Adviser B,Placed,16/02/2025,619
CL0037,08/03/2025,Health & Social Care,Jobcentre Plus,Adviser B,Sustained (13 weeks),26/04/2025,534
CL0038,29/03/2025,Hospitality,Jobcentre Plus,Adviser A,Sustained (26 weeks),27/06/2025,513
CL0039,19/06/2024,Customer Service,Self-referral,Adviser B,Sustained (13 weeks),03/08/2024,796
CL0040,17/06/2024,Customer Service,Jobcentre Plus,Adviser D,In Training,,798
CL0041,10/04/2025,Warehousing & Logistics,Jobcentre Plus,Adviser D,Action Plan Agreed,,501
CL0042,30/10/2024,Construction,Re-referral,Adviser A,Placed,13/12/2024,663
CL0043,21/02/2024,Education,Self-referral,Adviser B,Engaged,,915
CL0044,04/06/2025,Hospitality,Partner organisation,Adviser A,Placed,02/09/2025,446
CL0045,17/02/2025,Hospitality,Re-referral,Adviser B,Placed,29/03/2025,553
CL0046,24/03/2024,Customer Service,Partner organisation,Adviser C,Sustained (26 weeks),14/06/2024,883
CL0047,17/11/2024,Construction,Jobcentre Plus,Adviser B,Placed,03/03/2025,645
CL0048,13/04/2025,Admin & Office,Re-referral,Adviser A,Engaged,,498
CL0049,12/04/2024,Hospitality,Self-referral,Adviser C,Action Plan Agreed,,864
CL0050,23/12/2024,Hospitality,Partner organisation,Adviser C,In Training,,609
CL0051,24/03/2025,Warehousing & Logistics,Self-referral,Adviser A,Placed,11/09/2025,518
CL0052,02/11/2024,Hospitality,Re-referral,Adviser B,In Training,,660
CL0053,19/04/2024,Health & Social Care,Jobcentre Plus,Adviser B,Placed,10/07/2024,857
CL0054,27/09/2024,Education,Jobcentre Plus,Adviser A,Engaged,,696
CL0055,09/03/2025,Warehousing & Logistics,Jobcentre Plus,Adviser C,Sustained (13 weeks),18/09/2025,533
CL0056,25/09/2024,Health & Social Care,Partner organisation,Adviser D,Placed,22/11/2024,698
CL0057,18/03/2024,Health & Social Care,Self-referral,Adviser C,Placed,24/05/2024,889
CL0058,16/03/2025,Health & Social Care,Jobcentre Plus,Adviser C,Sustained (13 weeks),25/04/2025,526
CL0059,01/01/2025,Construction,Partner organisation,Adviser A,In Training,,600
CL0060,20/02/2025,Health & Social Care,Re-referral,Adviser B,Sustained (13 weeks),06/05/2025,550
CL0061,26/02/2025,Retail,Jobcentre Plus,Adviser C,Sustained (13 weeks),11/07/2025,544
CL0062,11/09/2024,Warehousing & Logistics,Jobcentre Plus,Adviser A,In Training,,712
